DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-03-30 10:00:00;SBER;60;217.34;218.45;216.12;217.82;16252680
2023-03-30 11:00:00;SBER;60;217.84;218.42;217.37;218.0;4346220
2023-03-30 12:00:00;SBER;60;217.99;218.08;217.07;217.5;3219860
2023-03-30 13:00:00;SBER;60;217.5;217.74;217.21;217.34;1742760
2023-03-30 14:00:00;SBER;60;217.34;217.42;216.67;217.02;3416120
2023-03-30 15:00:00;SBER;60;217.04;217.39;216.79;217.01;2225630
2023-03-30 16:00:00;SBER;60;217.02;217.12;216.8;216.87;1920490
2023-03-30 17:00:00;SBER;60;216.87;217.43;216.86;217.23;2147220
2023-03-30 18:00:00;SBER;60;217.23;217.4;217.02;217.4;931980
2023-03-30 19:00:00;SBER;60;217.33;217.33;217.01;217.09;725400
2023-03-30 20:00:00;SBER;60;217.07;217.67;217.07;217.33;1289650
2023-03-30 21:00:00;SBER;60;217.33;217.46;217.2;217.24;526810
2023-03-30 22:00:00;SBER;60;217.25;217.31;216.89;216.99;1155500
2023-03-30 23:00:00;SBER;60;216.99;217.09;216.82;216.87;837230
2023-03-31 10:00:00;SBER;60;217.2;217.35;214.2;214.75;16880180
2023-03-31 11:00:00;SBER;60;214.76;215.75;214.44;215.09;5694730
2023-03-31 12:00:00;SBER;60;215.1;215.3;213.25;213.69;8001880
2023-03-31 13:00:00;SBER;60;213.67;213.82;211.3;212.97;15848110
2023-03-31 14:00:00;SBER;60;212.97;213.5;211.82;212.74;8420320
2023-03-31 15:00:00;SBER;60;212.71;213.25;212.4;213.22;4618310
2023-03-31 16:00:00;SBER;60;213.2;213.22;212.8;212.97;2477310
2023-03-31 17:00:00;SBER;60;212.96;215.43;212.96;214.93;11350130
2023-03-31 18:00:00;SBER;60;214.96;215.5;214.82;215.5;3817730
2023-03-31 19:00:00;SBER;60;215.3;216.62;215.29;216.04;4827890
2023-03-31 20:00:00;SBER;60;216.04;216.35;215.51;215.56;1702600
2023-03-31 21:00:00;SBER;60;215.55;216.22;215.54;216.12;977530
2023-03-31 22:00:00;SBER;60;216.15;216.57;216.1;216.26;1611480
2023-03-31 23:00:00;SBER;60;216.26;216.6;215.96;216.6;1794990
2023-04-03 10:00:00;SBER;60;218.45;219.44;216.95;217.1;13842510
2023-04-03 11:00:00;SBER;60;217.1;217.3;216.2;217.14;6432820
2023-04-03 12:00:00;SBER;60;217.12;217.4;216.51;216.84;3631060
2023-04-03 13:00:00;SBER;60;216.84;216.92;216.31;216.8;2637980
2023-04-03 14:00:00;SBER;60;216.8;216.8;215.55;215.69;5290560
2023-04-03 15:00:00;SBER;60;215.69;216.36;215.03;215.85;4699910
2023-04-03 16:00:00;SBER;60;215.83;215.85;214.8;215.37;4757240
2023-04-03 17:00:00;SBER;60;215.37;216.94;215.33;215.7;7162710
2023-04-03 18:00:00;SBER;60;215.7;215.9;215.2;215.2;1923930
2023-04-03 19:00:00;SBER;60;215.65;216.3;215.32;216.07;1278020
